City,Number of Accidents
San Antonio,35686
San Antonio Central,2
San Antonio North,1
San Augustine,4
San Benito,14
San Elizario,24
San Isidro,1
San Juan,24
San Marcos,581
San Saba,1
Sanger,197
Santa Anna,1
Santa Elena,2
Santa Fe,26
Santo,23
Savoy,8
Schertz,563
Schulenburg,12
Seabrook,28
Seadrift,4
Seagoville,103
Sealy,55
Seguin,120
Selma,52
Seminole,2
Seymour,13
Shallowater,15
Shamrock,4
Shavano Park,3
Shenandoah,38
Shepherd,16
Sheppard AFB,4
Sheppard Afb,3
Sherman,49
Shiner,3
Sierra Blanca,26
Silsbee,1
Simms,5
Sinton,2
Skidmore,1
Slaton,4
Smithville,12
Snyder,8
Socorro,87
Somerset,2
Somerville,1
Sonora,9
Sour Lake,1
South Houston,53
Southlake,204
Southwest Dallas,1
Spicewood,468
Splendora,19
Spring,2454
Spring Branch,6
Springlake,1
Springtown,5
Stafford,483
Stamford,1
Stanton,47
Stephenville,7
Sterling,1
Stinnett,6
Stockdale,2
Stratford,21
Strawn,3
Streetman,11
Sudan,3
Sugar Land,444
Sullivan,1
Sulphur Springs,6
Summerfield,2
Sunnyvale,537
Sunset,2
Sunset Valley,42
Sweeny,8
Sweetwater,54
Sylvester,1
Tahoka,1
Talco,1
Tatum,1
Taylor,20
Teague,21
Temple,142
Tennessee Colony,3
Terrell,324
Texarkana,62
Texas,105
Texline,2
The Colony,107
The Hills,15
Thornton,2
Thrall,9
Tilden,3
Timpson,8
Tolar,1
Tomball,343
Tornillo,5
Trent,5
Trenton,2
Trinity,1
Troy,94
Tyler,3215
Universal,29
Uvalde,19
Valley Spring,1
Valley View,3
Van,6
Van Alstyne,4
Van Horn,30
Vancourt,1
Vega,6
Venus,9
Vernon,9
Victoria,36
Vidor,17
Volente,38
Von Ormy,216
Waco,353
Waelder,11
Wall,1
Waller,37
Wallis,5
Wallisville,9
Warren,2
Waskom,23
Watauga,2
Waxahachie,403
Weatherford,376
Webberville,22
Webster,770
Weimar,10
Weinert,1
Wells,1
Weslaco,7
West,27
West Columbia,5
West Lake Hills,315
Westbrook,22
Wharton,22
Wheeler,2
White Deer,3
Whitehouse,5
Whitesboro,5
Whitewright,4
Whitney,3
Whitsett,1
Wichita Falls,2093
Wildorado,11
Willis,101
Willow,1
Willow Park,5
Wills Point,63
Wilmer,100
Wilson,1
Wimberley,5
Windcrest,44
Windthorst,6
Winfield,6
Wingate,2
Wink,5
Winnie,22
Winnsboro,1
Winona,10
Winters,1
Wolfforth,1
Woodsboro,1
Woodville,8
Woodway,7
Wylie,16
Yoakum,1
Yorktown,4
Ysleta Del Sur Pueblo,4
Zavalla,5
