City,Number of Accidents,population,Accidents_Population
Iowa Park,24,6578.0,0.0036485253876558225
Iraan,2,995.0,0.0020100502512562816
Iredell,2,318.0,0.006289308176100629
Irving,5171,254373.0,0.020328415358548273
Italy,32,2079.0,0.015392015392015393
Itasca,6,1831.0,0.0032768978700163844
Jacksonville,7,14420.0,0.0004854368932038835
Jarrell,55,3980.0,0.013819095477386936
Jasper,2,7470.0,0.0002677376171352075
Jefferson,19,1851.0,0.010264721772015126
Jersey,10,7653.0,0.0013066771200836273
Johnson,14,2037.0,0.006872852233676976
Jonestown,96,2595.0,0.03699421965317919
Joshua,8,8901.0,0.0008987754184923043
Jourdanton,3,4304.0,0.0006970260223048327
Junction,39,2531.0,0.015408929276965626
Justin,52,5892.0,0.008825526137135099
Karnes,7,3112.0,0.002249357326478149
Katy,834,26360.0,0.03163884673748103
Kaufman,25,9201.0,0.002717095967829584
Keene,4,6860.0,0.0005830903790087463
Keller,16,46316.0,0.00034545297521374905
Kemah,16,2562.0,0.00624512099921936
Kemp,4,1348.0,0.002967359050445104
Kempner,1,1269.0,0.0007880220646178094
Kenedy,1,3403.0,0.0002938583602703497
Kennard,1,281.0,0.0035587188612099642
Kennedale,58,10052.0,0.0057699960206923995
Kermit,37,5952.0,0.006216397849462365
Kerrville,14,24930.0,0.0005615724027276374
Kilgore,17,13523.0,0.0012571175035125343
Killeen,11,159643.0,6.890374147316199e-05
Kingsbury,6,137.0,0.043795620437956206
Kingsville,2,24586.0,8.134710811030668e-05
Knox,3,1046.0,0.0028680688336520078
Kountze,3,2131.0,0.0014077897700610043
Krum,7,6548.0,0.0010690287110568112
Kyle,290,62548.0,0.004636439214683124
La Feria,3,6758.0,0.0004439183190292986
La Grange,15,4541.0,0.0033032371724289805
La Joya,2,4863.0,0.00041126876413736374
La Marque,122,19605.0,0.006222902320836521
La Porte,226,36991.0,0.006109594225622449
Lago Vista,57,10009.0,0.005694874612848436
Lake Dallas,479,7917.0,0.060502715675129465
Lake Jackson,38,27768.0,0.0013684817055603573
Lakeway,50,19189.0,0.002605659492417531
Lamesa,10,8266.0,0.0012097749818533753
Lampasas,8,7855.0,0.0010184595798854233
Lancaster,1147,40215.0,0.028521695884620165
Laredo,80,257602.0,0.0003105565950574918
Lavon,2,7495.0,0.000266844563042028
League,337,116320.0,0.0028971801925722148
Leander,543,80067.0,0.006781820225561092
Leona,2,166.0,0.012048192771084338
Leonard,4,2083.0,0.0019203072491598655
Levelland,8,12530.0,0.0006384676775738228
Lewisville,1913,133553.0,0.014323901372488825
Liberty,12,8774.0,0.0013676772281741509
Liberty Hill,64,10428.0,0.006137322593018795
Lindale,27,6923.0,0.00390004333381482
Linden,7,1813.0,0.003861003861003861
Lipan,4,533.0,0.0075046904315197
Little Elm,12,58496.0,0.00020514223194748358
Littlefield,14,5768.0,0.0024271844660194173
Live Oak,66,15988.0,0.00412809607205404
Liverpool,8,530.0,0.01509433962264151
Livingston,12,5747.0,0.0020880459370106142
Llano,4,3511.0,0.0011392765593847907
Lockhart,76,15318.0,0.004961483222352787
Lockney,1,1414.0,0.0007072135785007072
Lone Oak,1,781.0,0.0012804097311139564
Longview,231,83236.0,0.0027752414820510357
Loraine,7,508.0,0.013779527559055118
Lorena,11,1803.0,0.006100942872989462
Los Fresnos,10,8362.0,0.001195886151638364
Lovelady,1,584.0,0.0017123287671232876
Lubbock,56,266878.0,0.00020983370678737102
Lufkin,78,34181.0,0.002281969515227758
Luling,41,5754.0,0.007125477928397636
Lumberton,3,14129.0,0.00021232925189326916
Lyford,1,2207.0,0.00045310376076121433
Lytle,8,3178.0,0.0025173064820641915
Mabank,8,6396.0,0.0012507817385866166
Madisonville,13,4602.0,0.002824858757062147
Magnolia,34,5320.0,0.006390977443609023
Malakoff,6,2251.0,0.0026654820079964462
Manor,3487,20209.0,0.1725468850512148
Mansfield,144,78542.0,0.001833413969595885
Manvel,202,17261.0,0.011702682347488558
Marble Falls,82,7573.0,0.01082794137065892
Marfa,1,1674.0,0.0005973715651135006
Marion,36,1074.0,0.0335195530726257
Marlin,7,5563.0,0.001258313859428366
Marshall,45,24118.0,0.0018658263537606767
Mart,5,1849.0,0.0027041644131963224
Mason,4,2116.0,0.001890359168241966
Mathis,8,4285.0,0.0018669778296382731
Maud,2,966.0,0.002070393374741201
McAllen,25,146593.0,0.00017054020314749
McKinney,405,213509.0,0.001896875541546258
McLean,3,648.0,0.004629629629629629
Meadow,10,613.0,0.01631321370309951
Meadows Place,5,4596.0,0.0010879025239338555
Melissa,50,23571.0,0.002121250689406474
Melvin,1,123.0,0.008130081300813009
Memphis,3,2035.0,0.0014742014742014742
Menard,6,1343.0,0.004467609828741623
Mercedes,2,16732.0,0.00011953143676786995
Meridian,1,1429.0,0.0006997900629811056
Merkel,16,2433.0,0.006576243321002877
Mesquite,5903,147317.0,0.04007005301492699
Mexia,1,6859.0,0.0001457938474996355
Midland,88,138397.0,0.0006358519332066447
Midlothian,42,41352.0,0.0010156703424260012
Milano,3,425.0,0.007058823529411765
Milford,23,778.0,0.02956298200514139
Millsap,15,414.0,0.036231884057971016
Mineola,5,5119.0,0.0009767532721234617
Mineral Wells,5,15454.0,0.0003235408308528536
Mingus,3,236.0,0.012711864406779662
Mission,100,87292.0,0.0011455803510058195
Missouri,385,76773.0,0.0050147838432782355
Monahans,17,7311.0,0.0023252633018738885
Montgomery,32,2769.0,0.01155651859877212
Moody,4,1618.0,0.002472187886279357
Moulton,4,859.0,0.004656577415599534
Mount Pleasant,21,16055.0,0.0013080037371535347
Mount Vernon,3,2557.0,0.0011732499022291747
Muenster,3,1665.0,0.0018018018018018018
Muleshoe,11,4970.0,0.0022132796780684103
Mullin,3,131.0,0.022900763358778626
Munday,1,1222.0,0.0008183306055646482
Nacogdoches,23,32156.0,0.0007152630924244309
Naples,22,1401.0,0.015703069236259814
Natalia,5,1336.0,0.0037425149700598802
Navasota,12,8969.0,0.0013379417995317204
Nederland,3,18118.0,0.00016558118997681863
Needville,17,3088.0,0.005505181347150259
Nevada,1,1419.0,0.0007047216349541931
New Boston,14,4548.0,0.0030782761653474055
New Braunfels,582,110958.0,0.0052452279240793815
New Waverly,20,986.0,0.02028397565922921
Newcastle,1,535.0,0.001869158878504673
Nixon,5,2389.0,0.002092925910422771
Nocona,9,3190.0,0.0028213166144200625
North Richland Hills,365,70658.0,0.0051657278722862235
Oakwood,1,404.0,0.0024752475247524753
Odem,5,2302.0,0.002172024326672459
Odessa,103,115743.0,0.00088990262910068
Olton,2,1926.0,0.0010384215991692627
Omaha,5,932.0,0.00536480686695279
Orange,43,19108.0,0.002250366338706301
Orange Grove,1,1178.0,0.0008488964346349745
Ore,1,1175.0,0.000851063829787234
Overton,1,2316.0,0.0004317789291882556
Paducah,3,990.0,0.0030303030303030303
Palacios,1,4374.0,0.00022862368541380886
Palestine,15,19372.0,0.0007743134420813545
Palmer,44,2555.0,0.01722113502935421
Palmview,2,15874.0,0.00012599218848431397
Pampa,8,16543.0,0.0004835882246267303
Panhandle,8,2358.0,0.0033927056827820186
Pantego,2,2481.0,0.0008061265618702137
Paris,1,24969.0,4.0049661580359644e-05
Pasadena,1102,146716.0,0.007511109899397475
Pattison,2,624.0,0.003205128205128205
